Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Next_day_open
22-Aug-24,EQ,651.9,663.1,647.4,646.75,657.5,657.6,656.81,663.1,421.05,4468871,"2,93,52,17,468.15","81,073",657.7
21-Aug-24,EQ,628,656.7,627.05,625.3,647,646.75,647.21,656.7,421.05,4592836,"2,97,25,37,409.75","84,017",651.9
20-Aug-24,EQ,636.9,636.9,624.1,633.25,628,625.3,627.87,656,421.05,2421614,"1,52,04,56,988.95","30,282",628
19-Aug-24,EQ,645,648.85,627.1,645,634.75,633.25,633.59,656,421.05,2672648,"1,69,33,71,213.55","90,747",636.9
16-Aug-24,EQ,640,651.5,636.05,637.45,642.75,645,642.56,656,421.05,1127258,"72,43,25,770.65","31,428",645
14-Aug-24,EQ,649,649,633.75,644.2,639,637.45,638.76,656,421.05,1641617,"1,04,86,00,996.50","42,156",640
13-Aug-24,EQ,651,653.1,639.8,651.35,645,644.2,644.31,656,421.05,3510842,"2,26,20,57,476.85","60,366",649
12-Aug-24,EQ,616.45,656,604.2,598.9,648,651.35,640.37,656,421.05,21130766,"13,53,14,27,791.25","3,13,286",651
09-Aug-24,EQ,600,604.55,597.2,597.2,598.35,598.9,600.39,615.45,421.05,967071,"58,06,20,323.35","29,200",616.45
08-Aug-24,EQ,610,611.1,595,607.3,595.6,597.2,602.06,615.45,421.05,2003421,"1,20,61,74,565.90","42,961",600
07-Aug-24,EQ,603.4,614.3,601.2,597.75,608,607.3,607.99,615.45,421.05,1807315,"1,09,88,31,641.25","46,167",610
06-Aug-24,EQ,586.5,608,586.5,585.4,599.8,597.75,601.46,615.45,421.05,3995507,"2,40,31,52,425.55","89,756",603.4
05-Aug-24,EQ,595.5,601.4,582,606.7,587,585.4,589.2,615.45,421.05,2837080,"1,67,16,19,989.20","55,853",586.5
02-Aug-24,EQ,595.95,615.45,592.1,600.65,605.1,606.7,608.47,615.45,421.05,3121946,"1,89,96,25,930.05","72,544",595.5
01-Aug-24,EQ,601,605.8,595.5,598.8,600.15,600.65,600.03,605.8,421.05,2310904,"1,38,66,22,296.60","48,528",595.95
31-Jul-24,EQ,580,604.45,580,580,597.85,598.8,598.37,604.45,421.05,3185194,"1,90,59,32,984.45","62,394",601
30-Jul-24,EQ,591,594.5,578.6,590.85,579.35,580,587.32,597.8,421.05,750766,"44,09,40,671.30","26,728",580
29-Jul-24,EQ,583.1,597.8,577.35,581.35,591,590.85,590.75,597.8,421.05,3982298,"2,35,25,55,736.35","79,670",591
26-Jul-24,EQ,582,583.1,576.25,578.3,580,581.35,580.3,594,421.05,819648,"47,56,39,511.60","18,889",583.1
25-Jul-24,EQ,578.8,584.95,573.5,582.25,579.3,578.3,579.54,594,421.05,1730391,"1,00,28,23,491.80","41,912",582
24-Jul-24,EQ,561.25,584,557.95,561.25,580.15,582.25,572.94,594,421.05,2551785,"1,46,20,13,999.05","41,794",578.8
23-Jul-24,EQ,569.3,574,549.1,569.3,561.7,561.25,561.75,594,421.05,1838898,"1,03,30,09,675.30","41,452",561.25
22-Jul-24,EQ,555.8,576.85,548.75,560.15,569.3,569.3,568.06,594,421.05,2831309,"1,60,83,56,721.90","81,484",569.3
19-Jul-24,EQ,567.85,581,558.5,567.85,560,560.15,569.32,594,421.05,2934487,"1,67,06,47,541.00","63,875",555.8
18-Jul-24,EQ,585.85,587.2,563.3,585.85,567.8,567.85,572.12,594,421.05,1678467,"96,02,82,602.20","62,418",567.85
16-Jul-24,EQ,579,594,574.65,578.85,586,585.85,585.06,594,421.05,2903173,"1,69,85,38,181.70","61,476",585.85
15-Jul-24,EQ,582.05,582.05,575.15,582.05,576,578.85,578.23,587,421.05,1207106,"69,79,85,085.45","37,736",579
12-Jul-24,EQ,584.05,587,574.65,581.8,580,582.05,581.64,587,421.05,2542950,"1,47,90,70,670.20","41,519",582.05
11-Jul-24,EQ,583.95,585.85,571.85,580.15,580.15,581.8,579.69,586.95,421.05,2102625,"1,21,88,79,633.50","47,247",584.05
10-Jul-24,EQ,573.45,585.95,566.15,573.4,580,580.15,578.11,586.95,421.05,2224568,"1,28,60,45,568.30","70,148",583.95
09-Jul-24,EQ,576.95,580.35,567.95,574.15,572,573.4,571.97,586.95,421.05,1888512,"1,08,01,79,778.10","72,330",573.45
08-Jul-24,EQ,570,577,564.1,570.55,571.9,574.15,571.01,586.95,421.05,2015301,"1,15,07,64,988.60","67,114",576.95
05-Jul-24,EQ,565,572.6,561.2,567.1,570,570.55,568.42,586.95,421.05,837793,"47,62,18,208.10","28,365",570
04-Jul-24,EQ,570.35,574.5,565.3,570.3,565.5,567.1,569.37,586.95,421.05,1143614,"65,11,41,128.80","31,186",565
03-Jul-24,EQ,580,580,565.55,575.15,570,570.3,569.92,586.95,421.05,1053146,"60,02,08,448.15","45,499",570.35
02-Jul-24,EQ,576,578.85,563,575.3,574.1,575.15,571.38,586.95,421.05,2257097,"1,28,96,56,849.65","82,673",580
01-Jul-24,EQ,564,576.8,559.85,563.25,574,575.3,572.28,586.95,421.05,2516716,"1,44,02,60,103.70","68,522",576
28-Jun-24,EQ,555,567.1,552.3,552.35,562.9,563.25,561.45,586.95,421.05,2448122,"1,37,44,93,107.80","42,487",564
27-Jun-24,EQ,555.5,567,549.3,555.55,552.9,552.35,556.47,586.95,421.05,3128217,"1,74,07,51,960.75","53,449",555
26-Jun-24,EQ,561.45,563.8,550.6,558.75,556.45,555.55,554.73,586.95,421.05,3453722,"1,91,58,82,965.45","48,878",555.5
25-Jun-24,EQ,571,584.65,558,569.6,558.4,558.75,570.31,586.95,421.05,4499732,"2,56,62,43,973.75","76,180",561.45
24-Jun-24,EQ,549.95,574.4,542.15,551.95,569.75,569.6,563.61,586.95,421.05,7372429,"4,15,51,91,194.50","1,49,742",571
21-Jun-24,EQ,539.9,556.6,534.55,538.65,550,551.95,548.54,586.95,421.05,5254088,"2,88,20,97,478.60","81,052",549.95
20-Jun-24,EQ,543.15,546,537.7,544.4,538,538.65,540.59,586.95,421.05,1907171,"1,03,10,02,133.10","36,242",539.9
19-Jun-24,EQ,551.95,552.95,541.05,550.85,543.15,544.4,546.92,586.95,421.05,3110588,"1,70,12,31,174.50","54,810",543.15
18-Jun-24,EQ,534.35,552.4,532,530.65,549.4,550.85,545.57,586.95,421.05,5083829,"2,77,35,66,156.55","82,704",551.95
14-Jun-24,EQ,532.5,537.9,528.5,532.6,529.15,530.65,532.11,586.95,421.05,1170512,"62,28,39,066.95","29,116",534.35
13-Jun-24,EQ,538.5,542.7,531,535.65,533.3,532.6,535.43,586.95,421.05,1397961,"74,85,16,624.25","27,960",532.5
12-Jun-24,EQ,528.6,540.35,525.3,528.6,535.3,535.65,534.29,586.95,421.05,2547082,"1,36,08,70,351.85","60,856",538.5
11-Jun-24,EQ,529.5,533.8,522.25,523,528.25,528.6,529.49,586.95,421.05,2990672,"1,58,35,16,045.85","62,970",528.6
10-Jun-24,EQ,521.5,525.4,515,518.5,521.05,523,519.94,586.95,421.05,3885085,"2,02,00,29,853.35","74,358",529.5
,,,,,,,,,,,,,,521.5
